VPTREE,EUCLIDEANDISTANCE,MAXVARIANCE,4490,224311
k,time,count
5,1119126,1593
5,498319,642
5,930320,1272
5,922430,1274
5,675366,955
5,462223,641
5,466436,639
5,929277,1278
5,1688499,2236
5,456773,638
5,258479,323
5,928038,1274
5,487876,640
5,439186,640
5,924556,1271
5,1153338,1594
5,1602162,2226
5,490077,638
5,1141740,1595
5,610651,963
5,1117748,1593
5,6334959,8264
5,2105548,2861
5,1915202,2865
5,1796703,2543
5,476557,639
5,468113,640
5,2438601,3496
5,490396,638
5,267343,322
5,443001,639
5,674414,958
5,3156864,4149
5,1114743,1592
5,1796202,2544
5,3210623,4449
5,2332586,3178
5,479411,639
5,657341,959
5,2013417,2860
5,2336115,3499
5,1062923,1592
5,1124519,1590
5,476656,638
5,2067805,2870
5,1176097,1591
5,6203398,8269
5,693494,958
5,1349789,1911
5,2012801,2864
5,1870158,2542
5,659456,957
5,652592,963
5,1132275,1592
5,2238829,3182
5,1930726,2542
5,5093844,7307
5,2329874,3180
5,1243249,1909
5,1677338,2231
5,6320500,8586
5,1696998,2228
5,1051342,1591
5,1661503,2229
5,4305546,6362
5,4760043,6993
5,508144,641
5,2009640,2869
5,1172827,1591
5,956671,1270
5,2389892,3499
5,1770791,2549
5,955006,1280
5,245651,323
5,4900019,7309
5,3834397,5409
5,931306,1274
5,461977,639
5,688436,957
5,649330,956
5,2290081,3184
5,666594,958
5,255516,322
5,243036,323
5,1657249,2232
5,245205,322
5,1120752,1591
5,7747270,10804
5,678947,957
5,256056,323
5,587449,962
5,911090,1275
5,3419605,4457
5,649579,962
5,640310,957
5,7010771,9536
5,472917,640
5,491229,643
5,461803,640
5,430141,640
5,2030861,2867
5,449441,645
5,631860,960
5,437785,645
5,1648556,2229
5,1111784,1596
5,458214,640
5,629540,962
5,428084,640
5,4030324,5725
5,3332594,4458
5,480373,642
5,1344815,1918
5,467472,638
5,3681658,5082
5,6383606,8585
5,2053036,2863
5,1271520,1279
5,5164077,7627
5,261736,323
5,440436,640
5,1281294,1913
5,2239071,3187
5,8596181,12065
5,2103347,2866
5,666455,958
5,8175228,11120
5,14865294,17775
5,475321,641
5,1722696,2238
5,658147,963
5,269915,322
5,4444552,6041
5,647149,962
5,1648930,2235
5,1313429,1913
5,935203,1275
5,1314399,1912
5,648856,962
5,479249,638
5,268913,322
5,257726,322
5,666641,954
5,689023,956
5,1215055,1593
5,452737,642
5,1103625,1595
5,226080,322
5,435893,642
5,449056,642
5,656680,954
5,977657,1279
5,615677,956
5,450844,642
5,1793442,2232
5,607957,958
5,262988,323
5,908380,1278
5,484040,639
5,503629,638
5,634517,954
5,461472,638
5,251827,322
5,437995,642
5,241244,323
5,1158659,1595
5,260970,322
5,469369,638
5,475524,638
5,474918,638
5,236427,322
5,242872,322
5,225418,322
5,1662972,2233
5,459405,638
5,236872,322
5,1084511,1597
5,916124,1278
5,1076309,1595
5,230964,322
5,577808,960
5,6456627,8267
5,1911484,2552
5,262922,322
5,262878,322
5,252916,322
5,2086198,2864
5,242379,322
5,1572541,2233
5,258788,322
5,616539,954
5,1085710,1597
5,583386,960
5,619824,954
5,600968,954
5,2202588,3192
5,246856,322
5,637445,958
5,916739,1279
5,1273830,1911
5,1632108,2237
5,1801652,2550
5,1578693,2230
5,257794,322
5,642720,960
5,1279973,1909
5,617217,958
5,973813,1279
5,475654,638
5,491589,642
5,2152040,2866
5,2146056,3182
5,1973309,2865
5,491344,641
5,604220,960
5,952754,1278
5,500835,638
5,264845,322
5,578660,958
5,262908,323
5,226782,323
5,422997,644
5,709019,954
5,262313,322
5,231396,322
5,487224,638
5,646583,962
5,252589,323
5,1168769,1596
5,605840,962
5,891322,1281
5,7239962,8902
5,466555,639
5,271235,322
5,449098,638
5,268009,322
5,473008,642
5,3462054,4453
5,257054,322
5,672499,962
5,973843,1271
5,667799,956
5,454800,638
5,2161543,2864
5,665746,962
5,1232402,1913
5,1597224,2230
5,1170198,1593
5,657825,954
5,1068476,1595
5,881490,1279
5,665120,956
5,667546,959
5,1089849,1593
5,1113544,1593
5,461151,638
5,237357,322
5,1895598,2552
5,234180,323
5,491869,640
5,499706,639
5,486698,639
5,1846815,2545
5,986573,1273
5,488872,638
5,647836,956
5,624111,955
5,927242,1283
5,3142142,4143
5,1099228,1592
5,627808,963
5,262740,322
5,247731,323
5,486307,641
5,265246,323
5,488996,640
5,1072417,1592
5,2129404,2858
5,480470,638
5,264959,322
5,930771,1275
5,472306,641
5,479682,644
5,446778,638
5,2130158,2865
5,639085,956
5,954921,1279
5,3503245,4779
5,463761,644
5,262638,322
5,1261007,1923
5,976887,1277
5,650176,957
5,1692630,2228
5,1719209,2226
5,465893,642
5,880163,1276
5,2399459,3502
5,469239,644
5,1959259,2538
5,906814,1276
5,2146924,2865
5,1303638,1913
5,686029,955
5,1741486,2226
5,484387,638
5,1892007,2543
5,478321,638
5,1159491,1593
5,1116233,1597
5,451510,638
5,243119,323
5,487587,644
5,473417,638
5,911717,1276
5,3835179,5087
5,2481100,3495
5,1056108,1597
5,467757,642
5,617782,960
5,507695,638
5,485724,638
5,676263,961
5,2285413,3191
5,2449023,3500
5,252010,322
5,247768,322
5,475749,639
5,261084,322
5,235504,322
5,2109939,2873
5,669570,956
5,235537,322
5,242662,323
5,243913,322
5,1837191,2553
5,1747568,2547
5,234711,322
5,247169,322
5,480153,638
5,258406,322
5,935909,1279
5,2103355,2862
5,1309987,1914
5,909336,1280
5,237298,322
5,473397,639
5,666930,959
5,1940610,2545
5,477559,641
5,1037901,1594
5,665789,954
5,489560,640
5,251072,322
5,254625,322
5,652525,956
5,254736,323
5,1881648,2542
5,226328,323
5,867567,1276
5,470815,638
5,492344,641
5,264443,322
5,639705,964
5,931394,1274
5,237650,322
5,249702,322
5,2033506,2864
5,935174,1273
5,682631,955
5,468244,638
5,450391,639
5,234502,322
5,221958,322
5,942485,1275
5,1099683,1595
5,661212,956
5,1318908,1908
5,614696,957
5,264259,322
5,256499,322
