VPTREE,EUCLIDEANDISTANCE,KMEDOIDS,4490,373043
k,time,count
5,3304998,4448
5,468928,641
5,1938350,2868
5,447143,641
5,674106,957
5,429643,641
5,2464668,3809
5,498565,638
5,449732,640
5,1222338,1918
5,867444,1279
5,705476,958
5,3210997,4446
5,1259313,1911
5,501560,639
5,445800,641
5,463610,640
5,1064101,1599
5,866693,1276
5,1220941,1919
5,665230,962
5,1680604,2228
5,504334,638
5,223545,322
5,485588,640
5,488310,643
5,1788925,2548
5,496554,639
5,647104,959
5,588778,959
5,466498,642
5,6885637,8899
5,4984706,7628
5,2438524,3816
5,4456104,6683
5,685056,955
5,467374,638
5,3102672,4135
5,255657,322
5,461893,638
5,1270242,1917
5,1152288,1594
5,3764861,5409
5,1124694,1590
5,3120640,4138
5,3743997,5411
5,1310352,1910
5,495145,638
5,1636187,2231
5,1330460,1904
5,1967144,2864
5,2170102,3185
5,1306134,1908
5,255238,322
5,1268555,1915
5,2498752,3488
5,4606593,6673
5,926122,1277
5,2424059,3500
5,1611106,2231
5,1164325,1588
5,916260,1278
5,1648590,2233
5,946733,1275
5,614033,957
5,1338086,1905
5,4010495,5732
5,3369536,4457
5,1145736,1589
5,1301176,1911
5,3062418,4138
5,2575356,3815
5,2418568,3814
5,2021038,2871
5,2276580,3506
5,4766006,6987
5,266960,322
5,1102264,1597
5,2685323,3817
5,1327020,1903
5,897364,1270
5,1041846,1589
5,659418,959
5,1070361,1593
5,7024611,10170
5,3656387,5099
5,1641216,2226
5,255925,322
5,1155758,1590
5,1229978,1907
5,1904758,2547
5,1905981,2545
5,255181,323
5,468597,638
5,2008517,2865
5,668640,960
5,2335567,3504
5,4669365,6987
5,1115148,1592
5,1061270,1597
5,628909,961
5,431931,638
5,3945388,5724
5,1071137,1597
5,628821,958
5,7415722,10483
5,1083781,1597
5,672430,961
5,435565,645
5,1024865,1597
5,2029020,2872
5,879522,1281
5,618708,961
5,837745,1278
5,966288,1270
5,246547,322
5,589987,959
5,583770,959
5,582782,959
5,1339306,1912
5,3671473,5079
5,1106629,1592
5,1803117,2558
5,455456,638
5,3133165,4136
5,4220532,6361
5,1274535,1913
5,1680403,1912
5,4196301,5718
5,1101578,1597
5,843310,1278
5,1695117,2230
5,941344,1276
5,6416773,8581
5,2043778,2864
5,245244,322
5,7144273,9528
5,10040090,14921
5,976493,1276
5,1252327,1914
5,469644,643
5,1086678,1593
5,7277435,9848
5,1080539,1597
5,1573647,2229
5,464271,643
5,457865,638
5,461303,638
5,1046172,1597
5,911914,1277
5,615151,960
5,481937,638
5,652514,959
5,472852,640
5,1346996,1907
5,436170,643
5,468354,640
5,239265,323
5,251293,322
5,881585,1277
5,623608,957
5,653530,956
5,436888,640
5,446793,643
5,461941,640
5,231757,323
5,239800,322
5,441187,638
5,490510,638
5,515570,640
5,617894,957
5,247822,322
5,224172,323
5,609230,960
5,234187,322
5,421760,640
5,488497,639
5,633185,961
5,239992,322
5,450381,638
5,231659,322
5,426858,638
5,426592,638
5,233128,322
5,421534,638
5,232315,323
5,2598187,3821
5,236429,322
5,427982,640
5,251338,322
5,220408,322
5,4812335,7322
5,879291,1275
5,492408,640
5,256583,322
5,231521,322
5,457799,638
5,422354,638
5,232247,322
5,219016,323
5,423491,638
5,232994,322
5,217808,322
5,870153,1272
5,831325,1272
5,2001970,2866
5,628806,957
5,433473,640
5,595711,959
5,1797985,2549
5,1010613,1591
5,1189216,1908
5,850686,1274
5,470032,638
5,235280,322
5,577551,957
5,881332,1274
5,2561576,3821
5,601260,961
5,497727,638
5,1061670,1591
5,1045162,1591
5,422735,638
5,1151837,1595
5,421338,638
5,476927,638
5,646808,954
5,1148647,1593
5,619640,955
5,1137458,1593
5,222756,322
5,218147,322
5,455879,638
5,232417,322
5,1053893,1593
5,1287140,1913
5,253989,322
5,621579,956
5,451672,638
5,231282,322
5,217098,322
5,6513048,8588
5,475506,638
5,1296982,1913
5,1976688,2860
5,657534,955
5,246603,323
5,3465527,4772
5,969323,1273
5,250898,322
5,474104,640
5,471627,640
5,230719,323
5,1251256,1908
5,936152,1278
5,1263874,1913
5,2385751,3502
5,2047355,2861
5,471995,638
5,422053,638
5,1785101,2549
5,1128924,1589
5,1979294,2869
5,925638,1270
5,1680268,2224
5,230589,322
5,246762,323
5,1798243,2550
5,631338,955
5,661733,954
5,1272016,1904
5,3123256,4127
5,2118949,3185
5,1964867,2861
5,471005,638
5,475888,641
5,1546486,2220
5,1600145,2234
5,4492587,6681
5,1121930,1590
5,253549,322
5,624723,961
5,623687,956
5,1269435,1913
5,475893,640
5,674120,955
5,1266623,1911
5,1676128,2224
5,639582,957
5,1068059,1593
5,449216,640
5,490548,638
5,602842,960
5,232075,323
5,428780,638
5,427845,640
5,475329,639
5,1840914,2548
5,233337,322
5,249488,322
5,1513129,2231
5,1131918,1590
5,628476,958
5,1162486,1589
5,1804944,2545
5,651136,955
5,590621,955
5,2293406,3496
5,245548,322
5,1132674,1590
5,633367,961
5,487483,638
5,1147839,1589
5,1262384,1905
5,1716216,2539
5,1096084,1591
5,822280,1274
5,457230,638
5,3382670,4441
5,880298,1273
5,445828,638
5,867569,1273
5,443920,644
5,2183532,3183
5,640302,960
5,2977800,4130
5,3471813,4769
5,863235,1273
5,449383,643
5,1039622,1595
5,941757,1278
5,906526,1277
5,249321,322
5,1193138,1919
5,1766401,2541
5,436562,639
5,587465,956
5,259771,322
5,1037353,1593
5,1245865,1908
5,2090581,3189
5,1123663,1589
5,221986,322
5,240110,323
5,594506,955
5,1691289,2551
5,1681014,2556
5,2209667,3502
5,1042615,1593
5,485018,640
5,882304,1276
5,448496,641
5,2028493,2858
5,914696,1278
5,635899,960
5,447124,641
5,261455,322
5,243564,322
5,1102866,1595
5,466195,639
5,864670,1279
5,611565,957
5,461683,642
5,1104751,1591
5,961493,1275
5,647246,955
5,1119421,1597
5,855193,1270
5,887356,1274
5,839826,1274
5,461871,638
5,260894,323
5,444656,640
5,450670,645
5,2035768,2867
5,845795,1277
5,1289169,1905
5,1042349,1589
5,608209,956
5,1324560,1912
5,243430,322
5,415730,639
5,623848,954
5,586134,954
5,1118251,1597
5,2032442,2868
5,466418,641
5,1264351,1906
5,243223,322
5,448980,642
5,476278,640
5,859922,1276
5,1584682,2232
5,997019,1593
5,220731,322
5,230097,323
5,417653,641
5,568168,956
5,474255,640
5,630505,955
5,253534,322
5,941292,1274
5,239749,322
5,446371,645
5,255927,322
5,215017,322
5,596657,955
5,455520,641
5,1037167,1595
5,424457,645
5,906801,1280
5,552513,956
5,981254,1595
5,416722,645
5,237934,322
5,213022,322
5,1789988,2548
5,561484,956
5,237452,323
5,585344,960
5,467320,642
5,227752,322
5,417783,639
5,227280,322
5,2174032,3178
5,921733,1276
5,1218854,1912
5,247992,322
5,399537,642
5,411838,642
5,1220860,1913
5,993943,1595
5,2386184,3499
5,1242989,1909
5,1046548,1589
5,617052,956
5,1093144,1596
5,431604,642
5,414844,642
5,565622,960
5,229763,322
5,844542,1278
5,1528739,2232
5,833318,1278
5,3543868,5097
5,2396723,3831
5,458052,638
5,232051,322
5,216388,322
5,408966,642
5,630093,954
5,663660,958
5,583919,958
5,596418,960
5,245431,322
5,410375,642
5,1036337,1589
5,1076752,1594
5,444052,642
5,3413618,4442
5,251587,322
5,476551,640
5,3527360,4766
5,4048600,5734
5,6461718,8898
5,2445791,3815
5,660150,960
5,955501,1274
5,245918,322
5,3302522,4468
5,660515,955
5,1051433,1591
5,893180,1274
5,917225,1273
5,227215,323
5,234993,322
5,1083194,1592
5,6659540,9207
5,4548569,6666
5,246806,323
5,655635,956
5,245502,322
5,2550737,3810
5,484088,640
5,228648,323
5,604640,957
5,227411,323
5,217940,323
5,1316043,1908
5,1076660,1600
5,243179,322
5,220090,323
5,1197891,1916
5,220627,323
5,1550208,2229
5,432079,643
5,884052,1272
5,469467,638
5,213209,322
5,217506,323
5,598018,960
5,212218,323
5,565280,957
5,212697,323
5,486021,638
5,417129,643
5,428182,643
5,209909,323
5,617806,955
5,217116,322
5,442220,638
5,211806,322
5,255909,323
5,908569,1277
5,427365,643
5,1685005,2228
5,647490,961
5,4978203,7623
5,944664,1277
5,271330,322
5,4312982,6360
5,2287646,3494
5,632575,960
5,3301519,4456
5,421233,639
5,1167309,1589
5,438280,640
5,958096,1270
5,6809066,9539
5,3054246,4137
5,1069098,1593
5,604863,956
5,463212,638
5,236523,322
5,4780456,6996
5,629253,958
5,1691121,2225
5,662179,955
5,1302737,1910
5,484019,639
5,214542,322
5,848315,1274
5,3726541,5090
5,239039,322
5,874167,1273
5,2107465,3182
5,3728125,5414
5,2220664,3182
5,923528,1279
5,920945,1277
5,1692086,2227
5,953952,1273
5,222732,322
5,3809060,5410
5,1061589,1592
5,250904,322
5,469165,644
5,679727,955
5,1045092,1593
5,865586,1273
5,476611,640
5,486023,642
5,3943361,5395
5,1618066,2225
5,676772,954
5,1791660,2547
5,249731,322
5,232844,323
5,682976,955
5,1113727,1592
5,2287274,3500
5,1961554,2860
5,913048,1276
5,449072,638
5,424383,639
5,465642,639
5,222022,323
5,488207,643
5,2434807,3811
5,233644,323
5,222276,323
5,2413337,3821
5,1094136,1594
5,895576,1278
5,909026,1277
5,3889982,5723
5,1310791,1911
5,1954916,2866
5,3208374,4450
5,699936,959
5,1097450,1593
5,257664,322
5,4476832,6365
5,230693,323
5,3311574,4451
5,236292,322
5,4373676,6671
5,466354,640
5,433950,638
5,564691,956
5,472091,643
5,244984,322
5,474873,638
5,591393,955
5,1853250,2554
5,3323292,4456
5,944763,1275
5,1111411,1593
5,3285024,4453
5,565168,956
5,242800,322
5,1777247,2546
5,1079195,1592
5,1650673,2225
5,218243,322
5,682030,954
5,1135802,1592
5,224446,322
5,1653333,2222
5,657858,960
5,912884,1276
5,645883,956
5,421492,638
5,1052469,1594
5,3671934,5081
5,631616,956
5,569445,956
5,658351,955
5,1129453,1593
5,641535,955
5,454714,638
5,1079715,1598
5,1077871,1593
5,865395,1278
5,246042,322
5,463792,643
5,213351,322
5,453665,641
5,681132,954
5,2520869,2550
5,1821284,2546
5,490589,640
5,233572,322
5,234670,323
5,967709,1276
5,1719228,2546
5,904584,1277
5,891831,1278
5,494213,640
5,7063853,9536
5,461293,640
5,454162,643
5,446237,639
5,2208701,3178
5,243443,322
5,1061824,1598
5,4024030,5392
5,246669,322
5,1156855,1593
5,901374,1277
5,1666084,2229
5,469397,638
5,505197,640
5,242806,322
5,4170786,5717
5,634963,956
5,478548,645
5,3242886,4133
5,1658691,2229
5,248281,322
5,1332223,1909
5,249405,322
5,242207,322
5,231547,323
5,1055823,1594
5,1073093,1593
5,2330350,3494
5,660791,960
5,462081,638
5,487813,640
5,981180,1273
5,1281076,1911
5,500692,638
5,488212,644
5,1109888,1593
5,2356819,3507
5,873128,1276
5,500959,640
5,614364,956
5,451572,643
5,863309,1276
5,2027134,2862
5,1525208,2225
5,964673,1274
5,1356715,1911
5,1132646,1597
5,459830,641
5,963301,1273
5,2069502,2867
5,689634,959
5,1329340,1906
5,483232,638
5,865498,1273
5,437198,640
5,1114162,1593
5,450421,638
5,1183615,1589
5,938918,1277
5,912859,1273
5,3557132,4769
5,906609,1275
5,253931,322
5,927796,1277
5,238780,322
5,636679,956
5,2559960,3816
5,3776600,5080
5,673316,955
5,472615,639
5,2624026,3819
5,870374,1273
5,242650,322
5,451213,638
5,230619,323
5,428256,639
5,1348476,1904
5,444319,640
5,645558,958
5,220332,322
5,892957,1279
5,1256821,1910
5,646381,955
5,1228694,1912
5,1309251,1910
5,616613,962
5,471464,638
5,1079302,1594
5,3258560,4125
5,243295,322
5,455352,641
5,897665,1276
5,1037858,1589
5,1731619,2228
5,448093,641
5,679111,959
5,683480,955
5,2375488,3499
5,675764,959
5,240188,322
5,246820,322
5,3387165,4456
5,245761,322
5,647251,956
5,451821,640
5,565616,956
5,632862,958
5,215400,322
5,1826875,2553
5,242853,322
5,594662,956
5,457849,638
5,243905,322
5,672923,956
5,1123161,1593
5,2272264,3190
5,949322,1279
5,232527,323
5,670503,956
5,1150854,1588
5,244007,322
5,917834,1280
5,602391,962
5,1182604,1907
5,1182396,1912
5,1931829,2864
5,4072349,5722
5,930594,1279
5,496719,642
5,245711,322
5,484559,644
5,480692,642
5,892236,1277
5,465339,641
5,669519,954
5,482448,640
5,931677,1277
5,1179315,1594
5,938100,1274
5,955522,1271
5,493711,639
5,1093977,1593
5,2081978,2861
5,483305,638
5,239921,322
5,489736,639
5,485903,641
5,929600,1277
5,477743,638
5,1644365,2228
5,1987410,2868
5,248235,322
5,1653634,2227
5,1249464,1911
5,671848,956
5,2543605,3824
5,474385,640
5,1288261,1914
5,1107699,1589
5,466685,638
5,4819472,6994
5,2563233,3823
5,246613,322
5,7830018,10808
5,480349,640
5,481534,638
5,2450192,3498
5,2111629,3181
5,1241522,1909
5,2073023,3173
5,1571990,2230
5,466486,640
5,651910,956
5,6621489,8902
5,4569074,7002
5,933806,1274
5,668121,957
5,1680445,2229
5,3268582,4456
5,243652,322
5,470309,644
5,1728684,2225
5,5052088,7632
5,2573931,3822
5,1155443,1591
5,2350059,3492
5,2569021,3824
5,490005,641
5,6963655,9534
5,699827,956
5,956826,1280
5,972658,1273
5,434088,640
5,423681,638
5,1772403,2229
5,635905,959
5,974885,1278
5,4074797,5725
5,3302648,4448
5,935853,1277
5,477980,638
5,486241,640
5,247848,323
5,1279285,1912
5,225574,323
5,686373,961
5,926568,1277
5,631477,955
5,3648866,5093
5,4794137,6990
5,1118178,1595
5,241266,323
5,467355,643
5,1346020,1907
5,1301681,1909
5,238165,323
5,988982,1280
5,1804953,2548
5,1120657,1590
5,1291059,1909
5,239186,323
5,1207779,1906
5,641836,961
5,620193,960
5,669067,955
5,464678,641
5,224033,322
5,453661,639
5,236571,323
5,216282,323
5,2346823,3184
5,1640917,2239
5,1153332,1275
5,1848791,2548
5,1060545,1598
5,4418479,6364
5,246385,323
5,2338539,3499
5,1151151,1598
5,3632299,4770
5,4266155,6047
5,1180257,1594
5,1326785,1910
