VPTREE,EUCLIDEANDISTANCE,SSS,4490,308836
k,time,count
5,2746460,3823
5,4918290,6354
5,3650311,4445
5,1988425,2546
5,668680,955
5,1387874,1916
5,658663,955
5,1727685,2232
5,4029603,5402
5,1017838,1274
5,246070,323
5,2184485,2864
5,696704,954
5,706583,962
5,5516211,7621
5,2707605,3812
5,530492,638
5,1179389,1592
5,245653,323
5,980328,1280
5,2441853,3501
5,679230,960
5,1402971,1907
5,2698722,3819
5,960853,1274
5,895584,1274
5,1322952,1906
5,2769398,3821
5,1748309,2229
5,961497,1274
5,1160696,1591
5,1106781,1591
5,1997641,2549
5,10242834,13642
5,7101926,8890
5,2283751,2857
5,5681901,7616
5,488994,641
5,951141,1274
5,1324250,1907
5,500417,644
5,990051,1272
5,1336125,1910
5,3616864,4449
5,3876145,5088
5,3447436,4135
5,2316999,3183
5,3205676,4132
5,2753792,3817
5,1196743,1599
5,1359462,1903
5,5133357,6991
5,3421456,4445
5,1299656,1911
5,2257237,3183
5,2454544,3507
5,6992182,8583
5,3991473,5080
5,8617590,11108
5,1245201,1601
5,7211829,8899
5,2741783,3809
5,3911913,4771
5,4423149,5726
5,1010544,1285
5,4183966,5408
5,2661860,3500
5,4204117,5396
5,5829001,7937
5,8737863,11121
5,3772063,4773
5,2329722,3180
5,7986522,9848
5,5594198,7635
5,7455647,9218
5,2781861,3822
5,5535323,7624
5,9143786,11741
5,2463964,3177
5,1808159,2238
5,4926269,6684
5,1943070,2542
5,1025925,1270
5,1320364,1914
5,1171129,1591
5,258173,322
5,7174094,8883
5,4043951,5091
5,1389620,1910
5,238588,323
5,3381794,4129
5,2728028,3820
5,7174892,8576
5,2810744,3818
5,514660,644
5,1041888,1283
5,3280806,4133
5,5430315,7637
5,2570368,3506
5,8327194,10481
5,713239,960
5,529423,641
5,669023,954
5,476933,640
5,5333952,7311
5,517575,641
5,503165,645
5,9767381,12685
5,538562,641
5,2850552,3819
5,1923411,2554
5,505794,641
5,2702187,3808
5,515169,644
5,3470079,4137
5,476410,641
5,2495695,3502
5,666513,963
5,501286,641
5,451240,641
5,447344,641
5,5139286,6998
5,9959782,12700
5,1395164,1909
5,1381026,1910
5,3546136,4450
5,4590475,6035
5,6870985,8258
5,2037497,2543
5,1145774,960
5,7579048,9219
5,563925,641
5,466865,641
5,1919820,2222
5,1825464,2238
5,10306060,13327
5,2304123,2869
5,505659,640
5,10087653,13021
5,19239301,22832
5,2444576,2867
5,1295055,1593
5,1236241,1591
5,509499,639
5,3890410,4758
5,516168,641
5,3873372,4763
5,2492367,3177
5,494506,640
5,1218303,1601
5,530304,641
5,1489407,1915
5,1421117,1906
5,715338,958
5,1176412,1596
5,508914,639
5,1789308,2232
5,499222,640
5,1385246,1921
5,1316096,1915
5,507635,644
5,973439,1280
5,988149,1274
5,537550,639
5,468509,639
5,501057,643
5,505600,643
5,647048,956
5,681626,961
5,1224393,1595
5,690846,955
5,1222801,1590
5,1008012,1274
5,975849,1276
5,490017,640
5,666395,963
5,251637,323
5,244977,323
5,699641,956
5,502641,644
5,1024813,1276
5,675126,958
5,631621,958
5,991583,1276
