VPTREE,EUCLIDEANDISTANCE,GNAT,4490,492902
k,time,count
5,1331148,1903
5,3501773,4138
5,991326,1277
5,8037898,9204
5,3943337,4452
5,2434520,3173
5,1421700,1916
5,1374426,1911
5,1734456,2228
5,5196161,6340
5,9493419,11413
5,799794,957
5,1985375,2553
5,270308,323
5,1985193,2538
5,1018207,1275
5,2734315,3819
5,721578,955
5,697931,958
5,1231986,1590
5,2382084,3170
5,655380,960
5,5723400,7311
5,2454716,3180
5,1776949,2224
5,1818346,2225
5,672935,958
5,1371553,1914
5,977068,1281
5,647233,956
5,3653464,4440
5,1788756,2238
5,496556,638
5,638356,954
5,2561706,3495
5,2988781,3818
5,4331519,5403
5,1295899,1593
5,504752,642
5,240490,322
5,986665,1277
5,22097778,27570
5,14502079,16811
5,6264917,7948
5,5414492,6980
5,520277,638
5,455644,638
5,3550350,4130
5,1003676,1277
5,494369,638
5,1003022,1274
5,4595482,5709
5,3980601,5084
5,3641465,4126
5,2735015,3493
5,5068758,6343
5,5812270,7303
5,1890624,2229
5,2065774,2540
5,8191378,9517
5,5704828,7308
5,4402175,5396
5,4586089,5719
5,1825747,2231
5,6108327,7939
5,4761932,5712
5,7703100,8555
5,753707,958
5,4246182,5081
5,4480172,5398
5,2390019,2861
5,5355353,6663
5,1416463,1911
5,5726584,7295
5,1249977,1590
5,3999177,4758
5,4194359,5074
5,7621719,8560
5,7939026,8881
5,2209046,2542
5,5813654,7293
5,4218513,5087
5,4699730,6034
5,1879065,2230
5,8235114,9197
5,5966417,7609
5,1477259,1907
5,689398,957
5,3749557,4454
5,2559474,3179
5,3641254,4130
5,3618855,4132
5,718817,958
5,643375,956
5,11148753,13959
5,3094318,3812
5,2005935,2543
5,257608,323
5,4801088,5717
5,2436506,3183
5,3531962,4124
5,1904184,2231
5,702456,958
5,700180,956
5,2636016,3496
5,6159662,7928
5,3601196,4128
5,11841409,14898
5,1097903,1271
5,507509,638
5,1045208,1276
5,994589,1276
5,9034712,11112
5,555602,638
5,689408,956
5,24305575,31366
5,646507,638
5,1012073,1276
5,504796,641
5,488675,638
5,2746630,3496
5,740800,956
5,1035613,1276
5,498382,638
5,2068263,2555
5,532948,639
5,512633,638
5,441787,638
5,480275,638
5,5300295,6672
5,9101568,10783
5,1241194,1592
5,674394,960
5,1116156,1273
5,4246158,5084
5,5438622,6668
5,1451307,1909
5,997497,638
5,4631763,5720
5,288554,322
5,243648,322
5,3482350,4133
5,1231426,1590
5,17385079,20605
5,4129904,4766
5,240469,323
5,11165920,13626
5,22795402,29461
5,3579676,4139
5,1213713,1592
5,504632,642
5,502456,639
5,12507078,16167
5,592459,638
5,4527472,5403
5,1109877,1273
5,1252788,1591
5,1293990,1605
5,506528,638
5,1252595,1597
5,1360569,1913
5,672461,955
5,984729,1275
5,1010914,1278
5,1426663,1912
5,686060,961
5,496590,645
5,632295,961
5,653810,966
5,1268541,1592
5,1184609,1590
5,1209449,1598
5,694482,960
5,644506,966
5,687356,955
5,1090579,1282
5,1011278,1284
5,663879,955
5,677012,956
5,681966,959
5,1218507,1590
5,464934,641
5,1057428,1277
5,640172,966
5,617022,966
5,679408,955
5,1065158,1274
5,240054,323
5,1005264,1284
5,665066,955
5,450614,639
5,1337864,1918
5,661507,955
5,620410,955
5,2444085,3189
5,691656,955
5,3998680,4763
5,731833,955
5,679009,955
5,650283,955
5,624670,955
5,11715005,14905
5,1872678,2227
5,698269,959
5,676338,955
5,481783,640
5,1380454,1907
5,660210,955
5,605707,955
5,443629,640
5,999950,1273
5,647168,955
5,625845,955
5,1168279,1588
5,1133045,1588
5,2380037,3186
5,672839,958
5,1203040,1588
5,2563518,3508
5,2049488,2541
5,1022006,1271
5,1166525,1588
5,1145000,1588
5,613500,955
5,624113,955
5,1318100,1905
5,928435,1271
5,8160829,9525
5,262768,323
5,719643,966
5,1393791,1905
5,4834996,6041
5,1230281,1588
5,1992168,2539
5,694675,955
5,706824,966
5,1010791,1273
5,498814,639
5,1293051,1598
5,1853494,2229
5,1008145,1284
5,659288,966
5,678375,955
5,606170,955
5,475151,639
5,522124,639
5,1265578,1590
5,1231474,1595
5,1206226,1588
5,653821,955
5,614925,955
5,10773914,13948
5,701642,956
5,278742,323
5,2210880,2858
5,260380,323
5,1083516,1276
5,8125577,9838
5,1106253,1275
5,998829,1273
5,2617069,3493
