VPTREE,EUCLIDEANDISTANCE,MAXSEPARETED,4490,775
k,time,count
5,2136067,2542
5,1909012,2223
5,2029510,2226
5,3702871,4133
5,1489964,1914
5,1059851,1272
5,7997477,8892
5,4261974,4769
5,2872187,3499
5,2398667,2865
5,1985002,2231
5,2401428,2864
5,10938836,13347
5,16570175,17771
5,2152201,2232
5,719222,962
5,1610542,1908
5,3009294,3816
5,1623934,1906
5,4399172,5094
5,743009,959
5,1095487,1273
5,2958273,3502
5,2404077,2867
5,1574858,1907
5,8201062,9213
5,2455040,2867
5,2757031,3498
5,545663,641
5,709842,957
5,1558094,1912
5,2585357,3180
5,2188151,2547
5,2356649,2866
5,1937653,2230
5,1948988,2223
5,1921668,2223
5,2788720,3496
5,1133114,1276
5,2003437,2226
5,533050,641
5,696644,955
5,471655,640
5,2026552,2226
5,19109855,21244
5,9555883,10792
5,2269728,2537
5,5826978,6983
5,1984887,2223
5,1970612,2223
5,5522293,6676
5,785949,956
5,527922,639
5,3101783,3828
5,3032011,3492
5,2994369,3812
5,4531523,5087
5,5386711,6355
5,7872818,8578
5,5066503,5726
5,2913853,3501
5,4361964,5080
5,6089317,7301
5,3171232,3803
5,5983498,6997
5,5627618,6671
5,4463557,5087
5,6596567,7926
5,8049063,8887
5,15783815,16498
5,823098,960
5,4853157,5401
5,6597832,7944
5,5157760,6039
5,4613178,5410
5,1172396,1275
5,10067121,11764
5,3013067,3506
5,3997689,4450
5,11334533,13021
5,11394257,13339
5,5211977,6037
5,2875029,3499
5,12343441,14609
5,8349710,9214
5,9614141,10796
5,2963008,3501
5,5401636,6359
5,8804732,9846
5,2190547,2544
5,3975007,4137
5,6466586,7948
5,2018673,2227
5,4157915,4443
5,2505954,2864
5,728513,960
5,505476,641
5,9074812,9843
5,8466807,9208
5,1410437,1591
5,566739,639
5,1310678,1594
5,4831449,5726
5,9866460,11116
5,3822589,4136
5,769128,959
5,1178565,1271
5,6278195,7636
5,3161361,3824
5,2471055,2867
5,8259705,8883
5,775055,955
5,557737,643
5,1256903,1600
5,700666,955
5,7768812,8577
5,631403,643
5,513339,640
5,20927442,24091
5,665683,643
5,513143,643
5,497002,643
5,497116,643
5,3664258,4126
5,599548,643
5,678875,961
5,516562,643
5,2122102,2542
5,546921,643
5,551002,643
5,481967,643
5,506833,643
5,10731767,12379
5,4240817,4443
5,1359745,1596
5,1269008,1590
5,2394189,2862
5,4775489,5392
5,10229038,11436
5,1394778,1591
5,1046886,641
5,12319312,14923
5,639145,643
5,509004,643
5,5223342,6032
5,1639588,1905
5,11295921,12677
5,1696024,1904
5,279586,323
5,18798603,20303
5,26233662,30735
5,2563997,2865
5,2481381,2864
5,715297,955
5,310866,323
5,10191099,11105
